Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1736423255 5.4%	trades: 0	AMM: 93477.047, 3305.736	Target: 95240.145, 3354.023	Vol: 3822598.7537	PR:0.51	xCP-growth: {1.0003779206}	APY:1.6%	fee:0.608% .
t=1736433495 5.5%	trades: 0	AMM: 93477.047, 3235.328	Target: 94633.816, 3333.685	Vol: 3898924.1212	PR:0.50	xCP-growth: {1.0003901214}	APY:1.7%	fee:0.805% .
t=1736443735 5.6%	trades: 0	AMM: 94069.066, 3282.903	Target: 94126.646, 3302.159	Vol: 4356367.2589	PR:0.50	xCP-growth: {1.0004154916}	APY:1.7%	fee:0.289% .
t=1736453975 5.7%	trades: 0	AMM: 92834.867, 3185.971	Target: 93535.709, 3280.318	Vol: 4481201.5175	PR:0.50	xCP-growth: {1.0004335891}	APY:1.8%	fee:0.754% .
t=1736464215 5.7%	trades: 0	AMM: 92834.867, 3216.370	Target: 93465.624, 3274.548	Vol: 4509723.3175	PR:0.50	xCP-growth: {1.0004389881}	APY:1.8%	fee:0.569% .
t=1736474455 5.8%	trades: 0	AMM: 92788.991, 3216.370	Target: 93360.891, 3270.158	Vol: 4537251.3175	PR:0.50	xCP-growth: {1.0004423276}	APY:1.8%	fee:0.422% .
t=1736484695 5.9%	trades: 0	AMM: 93452.609, 3250.219	Target: 93452.572, 3265.345	Vol: 4604537.9175	PR:0.50	xCP-growth: {1.0004467607}	APY:1.8%	fee:0.245% .
t=1736494935 6.0%	trades: 1	AMM: 93992.648, 3297.723	Target: 93790.292, 3265.317	Vol: 4782407.2109	PR:0.50	xCP-growth: {1.0004596180}	APY:1.8%	fee:0.416% .
t=1736505175 6.0%	trades: 0	AMM: 93992.648, 3297.723	Target: 93790.292, 3265.317	Vol: 4782407.2109	PR:0.50	xCP-growth: {1.0004596180}	APY:1.8%	fee:0.416% .
t=1736515415 6.1%	trades: 0	AMM: 94795.945, 3304.005	Target: 93790.292, 3265.317	Vol: 4790970.6109	PR:0.50	xCP-growth: {1.0004615551}	APY:1.8%	fee:0.465% .
t=1736525655 6.2%	trades: 0	AMM: 93544.619, 3246.546	Target: 93582.588, 3248.897	Vol: 6351731.9361	PR:0.53	xCP-growth: {1.0005813167}	APY:2.2%	fee:0.113% .
t=1736535895 6.3%	trades: 0	AMM: 95019.600, 3274.079	Target: 95045.924, 3281.183	Vol: 7154169.2914	PR:0.51	xCP-growth: {1.0005887572}	APY:2.2%	fee:0.216% .
t=1736546135 6.3%	trades: 0	AMM: 94809.950, 3269.949	Target: 94860.168, 3270.640	Vol: 7550499.1417	PR:0.50	xCP-growth: {1.0005917871}	APY:2.2%	fee:0.078% .
t=1736556375 6.4%	trades: 0	AMM: 94656.162, 3265.569	Target: 94678.811, 3266.477	Vol: 7802041.1688	PR:0.50	xCP-growth: {1.0005931481}	APY:2.2%	fee:0.112% .
t=1736566615 6.5%	trades: 0	AMM: 94656.162, 3244.307	Target: 94656.716, 3260.507	Vol: 7859581.2676	PR:0.50	xCP-growth: {1.0005944101}	APY:2.2%	fee:0.253% .
t=1736576855 6.6%	trades: 0	AMM: 94199.566, 3244.307	Target: 94656.349, 3258.424	Vol: 7877135.2893	PR:0.50	xCP-growth: {1.0005959495}	APY:2.1%	fee:0.308% .
t=1736587095 6.6%	trades: 0	AMM: 94199.566, 3229.788	Target: 94656.349, 3258.424	Vol: 7885251.4489	PR:0.50	xCP-growth: {1.0005974319}	APY:2.1%	fee:0.362% .
t=1736597335 6.7%	trades: 0	AMM: 94395.691, 3269.246	Target: 94245.138, 3255.339	Vol: 8018447.2489	PR:0.50	xCP-growth: {1.0006008476}	APY:2.1%	fee:0.236% .
t=1736607575 6.8%	trades: 0	AMM: 94395.691, 3269.694	Target: 94337.363, 3257.762	Vol: 8057089.0708	PR:0.50	xCP-growth: {1.0006024266}	APY:2.1%	fee:0.210% .
t=1736617815 6.9%	trades: 0	AMM: 94190.379, 3269.694	Target: 94359.750, 3262.831	Vol: 8109994.1011	PR:0.50	xCP-growth: {1.0006049719}	APY:2.1%	fee:0.169% .
t=1736628055 6.9%	trades: 0	AMM: 94190.379, 3280.079	Target: 94249.686, 3262.637	Vol: 8142508.3011	PR:0.50	xCP-growth: {1.0006069673}	APY:2.1%	fee:0.292% .
t=1736638295 7.0%	trades: 0	AMM: 94520.208, 3301.627	Target: 94268.858, 3268.335	Vol: 8194282.2575	PR:0.50	xCP-growth: {1.0006120226}	APY:2.0%	fee:0.355% .
t=1736648535 7.1%	trades: 0	AMM: 94520.208, 3281.790	Target: 94293.993, 3270.531	Vol: 8214337.6452	PR:0.50	xCP-growth: {1.0006131659}	APY:2.0%	fee:0.210% .
t=1736658775 7.2%	trades: 0	AMM: 94520.208, 3281.790	Target: 94293.993, 3270.531	Vol: 8214337.6452	PR:0.50	xCP-growth: {1.0006131659}	APY:2.0%	fee:0.210% .
t=1736669015 7.2%	trades: 0	AMM: 94520.208, 3270.427	Target: 94520.194, 3277.548	Vol: 8323534.3051	PR:0.50	xCP-growth: {1.0006158634}	APY:2.0%	fee:0.160% .
t=1736679255 7.3%	trades: 0	AMM: 94449.755, 3239.450	Target: 94509.086, 3273.290	Vol: 8372938.0256	PR:0.50	xCP-growth: {1.0006197978}	APY:2.0%	fee:0.399% .
t=1736689495 7.4%	trades: 0	AMM: 94498.791, 3257.231	Target: 94488.739, 3269.113	Vol: 8416367.4256	PR:0.50	xCP-growth: {1.0006221910}	APY:2.0%	fee:0.197% .
t=1736699735 7.5%	trades: 0	AMM: 94923.617, 3275.483	Target: 94958.102, 3283.585	Vol: 8594006.0310	PR:0.50	xCP-growth: {1.0006304546}	APY:2.0%	fee:0.171% .
t=1736709975 7.5%	trades: 0	AMM: 94921.911, 3287.106	Target: 95029.794, 3290.190	Vol: 8816164.1597	PR:0.50	xCP-growth: {1.0006383436}	APY:2.0%	fee:0.161% .
t=1736720215 7.6%	trades: 0	AMM: 94619.904, 3254.038	Target: 94688.090, 3281.507	Vol: 8873447.1579	PR:0.50	xCP-growth: {1.0006387269}	APY:2.0%	fee:0.354% .
t=1736730455 7.7%	trades: 0	AMM: 95589.055, 3304.546	Target: 94991.680, 3287.232	Vol: 9112863.4255	PR:0.50	xCP-growth: {1.0006533446}	APY:2.0%	fee:0.274% .
t=1736740695 7.8%	trades: 0	AMM: 94335.521, 3250.507	Target: 94413.278, 3280.804	Vol: 9473361.7202	PR:0.50	xCP-growth: {1.0006719320}	APY:2.0%	fee:0.371% .
t=1736750935 7.9%	trades: 0	AMM: 93800.643, 3203.026	Target: 94449.763, 3262.779	Vol: 9605988.2763	PR:0.50	xCP-growth: {1.0006880834}	APY:2.1%	fee:0.570% .
t=1736761175 7.9%	trades: 0	AMM: 93440.833, 3156.549	Target: 94290.898, 3251.688	Vol: 9659120.9697	PR:0.50	xCP-growth: {1.0006985654}	APY:2.1%	fee:0.754% .
t=1736771415 8.0%	trades: 0	AMM: 92185.694, 3077.748	Target: 93664.022, 3216.591	Vol: 9745842.6907	PR:0.50	xCP-growth: {1.0007158644}	APY:2.1%	fee:0.929% .
t=1736781655 8.1%	trades: 0	AMM: 92499.452, 3046.312	Target: 92091.152, 3094.054	Vol: 10035437.3646	PR:0.50	xCP-growth: {1.0007864877}	APY:2.3%	fee:0.515% .
t=1736791895 8.2%	trades: 0	AMM: 91851.158, 3023.247	Target: 92097.365, 3081.450	Vol: 10127557.7259	PR:0.50	xCP-growth: {1.0007992493}	APY:2.3%	fee:0.579% .
t=1736802135 8.2%	trades: 0	AMM: 92889.309, 3094.704	Target: 92461.574, 3043.087	Vol: 10350859.3188	PR:0.50	xCP-growth: {1.0008304699}	APY:2.4%	fee:0.590% .
t=1736812375 8.3%	trades: 0	AMM: 92889.309, 3120.332	Target: 92542.559, 3051.414	Vol: 10382893.8352	PR:0.50	xCP-growth: {1.0008358989}	APY:2.4%	fee:0.678% .
t=1736822615 8.4%	trades: 0	AMM: 92889.309, 3140.865	Target: 92577.234, 3057.160	Vol: 10403687.6352	PR:0.50	xCP-growth: {1.0008405188}	APY:2.4%	fee:0.752% .
t=1736832855 8.5%	trades: 0	AMM: 92889.309, 3155.663	Target: 92608.441, 3063.260	Vol: 10418514.2352	PR:0.50	xCP-growth: {1.0008431756}	APY:2.3%	fee:0.792% .
t=1736843095 8.5%	trades: 0	AMM: 92889.309, 3163.137	Target: 92608.441, 3063.260	Vol: 10431619.5522	PR:0.50	xCP-growth: {1.0008485980}	APY:2.3%	fee:0.814% .
t=1736853335 8.6%	trades: 0	AMM: 96344.768, 3220.750	Target: 92765.600, 3100.470	Vol: 10507428.9522	PR:0.50	xCP-growth: {1.0008638613}	APY:2.4%	fee:0.951% .
